50 120 480 1250
29360525 10 0 18831500 512
29360525 10 0 18831531 514
17760707 10 0 18831828 513
17826243 10 0 18831843 512
17891779 10 0 18831859 512
17957315 10 0 18831859 512
18088387 10 0 18831859 512
18153923 10 0 18831859 512
18219459 10 0 18831859 512
18350531 10 0 18831859 512
18481603 10 0 18831875 512
18547139 10 0 18831875 512
18612675 10 0 18831875 512
18809283 10 0 18831875 512
18874819 10 0 18831875 512
19005891 10 0 18831875 512
19136963 10 0 18831890 512
19268035 10 0 18831890 512
19333571 10 0 18831890 512
19530179 10 0 18831890 512
19661251 10 0 18831890 512
19857859 10 0 18831890 512
19923395 10 0 18831890 512
19988931 10 0 18831890 512
20120003 10 0 18831906 512
20316612 10 0 18831906 512
20382148 10 0 18831906 512
20447685 10 0 18831906 512
20578757 10 0 18831906 512
20644293 10 0 18831906 512
20775365 10 0 18831906 512
20840902 10 0 18831921 512
20906438 10 0 18831921 512
20906439 10 0 18831921 512
20971975 10 0 18831921 512
21037511 10 0 18831921 512
21037512 10 0 18831937 512
21103048 10 0 18831937 512
21037512 10 0 18831968 512
20971976 10 0 18831968 512
20906440 10 0 18831968 512
20840904 10 0 18831984 512
20775368 10 0 18831984 512
20709832 10 0 18831984 512
20644296 10 0 18831984 512
20578760 10 0 18831984 512
20447688 10 0 18831984 512
20382152 10 0 18831984 512
20316617 10 0 18832000 512
19988937 10 0 18832000 512
19923401 10 0 18832000 512
19857865 10 0 18832000 512
19792329 10 0 18832000 512
19595721 10 0 18832000 512
19464649 10 0 18832000 512
19399113 10 0 18832015 512
19268041 10 0 18832015 512
19071433 10 0 18832015 512
19005897 10 0 18832015 512
18874825 10 0 18832015 512
18874825 10 0 18832015 514
16646595 10 0 18832078 513
16581059 10 0 18832078 512
16515523 10 0 18832093 512
16449987 10 0 18832171 512
16449988 10 0 18832171 512
16449989 10 0 18832171 512
16449990 10 0 18832171 512
16449991 10 0 18832187 512
16449992 10 0 18832187 512
16449993 10 0 18832187 512
16449994 10 0 18832187 512
16449995 10 0 18832187 512
16449997 10 0 18832187 512
16449998 10 0 18832203 512
16449999 10 0 18832203 512
16450001 10 0 18832203 512
16450003 10 0 18832203 512
16450004 10 0 18832203 512
16450006 10 0 18832203 512
16450007 10 0 18832203 512
16450008 10 0 18832203 512
16450011 10 0 18832218 512
16384478 10 0 18832218 512
16384479 10 0 18832218 512
16318945 10 0 18832218 512
16318948 10 0 18832218 512
16253416 10 0 18832218 512
16253417 10 0 18832218 512
16253420 10 0 18832218 512
16253422 10 0 18832234 512
16187889 10 0 18832234 512
16122356 10 0 18832234 512
16122359 10 0 18832234 512
16122362 10 0 18832234 512
16056828 10 0 18832234 512
16056831 10 0 18832234 512
16056835 10 0 18832234 512
15991302 10 0 18832250 512
15991304 10 0 18832250 512
15991307 10 0 18832250 512
15925774 10 0 18832250 512
15925777 10 0 18832250 512
15925783 10 0 18832250 512
15925785 10 0 18832250 512
15860252 10 0 18832265 512
15860255 10 0 18832265 512
15860258 10 0 18832265 512
15794725 10 0 18832265 512
15794729 10 0 18832265 512
15794732 10 0 18832265 512
15729203 10 0 18832265 512
15729204 10 0 18832265 512
15663672 10 0 18832281 512
15663674 10 0 18832281 512
15598141 10 0 18832281 512
15598144 10 0 18832281 512
15532612 10 0 18832281 512
15532614 10 0 18832281 512
15532618 10 0 18832281 512
15532619 10 0 18832281 512
15532621 10 0 18832296 512
15532623 10 0 18832296 512
15532627 10 0 18832296 512
15532628 10 0 18832296 512
15532629 10 0 18832296 512
15532630 10 0 18832296 512
15532632 10 0 18832296 512
15532634 10 0 18832296 512
15532635 10 0 18832312 512
15532636 10 0 18832312 512
15532638 10 0 18832312 512
15532639 10 0 18832312 512
15532640 10 0 18832312 512
15532641 10 0 18832312 512
15532642 10 0 18832312 512
15532643 10 0 18832328 512
15532644 10 0 18832328 512
15598180 10 0 18832390 512
15663716 10 0 18832406 512
15729252 10 0 18832406 512
15794789 10 0 18832406 512
15860325 10 0 18832406 512
15925861 10 0 18832406 512
15991397 10 0 18832406 512
16122469 10 0 18832421 512
16188005 10 0 18832421 512
16384613 10 0 18832421 512
16515685 10 0 18832421 512
16581221 10 0 18832421 512
16646757 10 0 18832421 512
16843365 10 0 18832421 512
17039973 10 0 18832437 512
17171045 10 0 18832437 512
17302117 10 0 18832437 512
17498724 10 0 18832437 512
17564260 10 0 18832437 512
17695332 10 0 18832437 512
17826404 10 0 18832437 512
17957475 10 0 18832453 512
18088547 10 0 18832453 512
18219619 10 0 18832453 512
18350690 10 0 18832453 512
18547298 10 0 18832453 512
18612834 10 0 18832453 512
18743906 10 0 18832453 512
18809442 10 0 18832468 512
19006050 10 0 18832468 512
19071586 10 0 18832468 512
19137122 10 0 18832468 512
19202658 10 0 18832468 512
19399266 10 0 18832468 512
19464802 10 0 18832468 512
19530338 10 0 18832484 512
19595874 10 0 18832484 512
19661410 10 0 18832484 512
19726946 10 0 18832484 512
19792482 10 0 18832484 512
19858018 10 0 18832484 512
19923554 10 0 18832500 512
19989090 10 0 18832500 512
20054626 10 0 18832515 512
20054626 10 0 18832515 514
21496281 10 0 18832781 513
21496282 10 0 18832812 512
21496283 10 0 18832812 512
21496284 10 0 18832828 512
21496285 10 0 18832828 512
21430749 10 0 18832828 512
21430751 10 0 18832828 512
21430752 10 0 18832828 512
21430754 10 0 18832843 512
21365219 10 0 18832843 512
21365220 10 0 18832843 512
21299685 10 0 18832843 512
21299686 10 0 18832843 512
21299688 10 0 18832843 512
21299689 10 0 18832843 512
21299690 10 0 18832843 512
21234156 10 0 18832859 512
21168625 10 0 18832859 512
21168630 10 0 18832859 512
21168633 10 0 18832859 512
21103102 10 0 18832859 512
21103103 10 0 18832859 512
21103107 10 0 18832859 512
21103110 10 0 18832875 512
21037580 10 0 18832875 512
21037587 10 0 18832875 512
21037591 10 0 18832875 512
21037595 10 0 18832875 512
21037599 10 0 18832875 512
21037602 10 0 18832875 512
21037607 10 0 18832890 512
21037616 10 0 18832890 512
21037617 10 0 18832890 512
21037622 10 0 18832890 512
21037626 10 0 18832890 512
21037633 10 0 18832890 512
21037634 10 0 18832890 512
21037638 10 0 18832906 512
21037642 10 0 18832906 512
21037646 10 0 18832906 512
21103185 10 0 18832906 512
21103188 10 0 18832906 512
21103191 10 0 18832906 512
21103197 10 0 18832906 512
21103198 10 0 18832906 512
21103201 10 0 18832921 512
21103203 10 0 18832921 512
21103207 10 0 18832921 512
21103209 10 0 18832921 512
21103211 10 0 18832921 512
21103213 10 0 18832921 512
21103214 10 0 18832937 512
21103215 10 0 18832937 512
21103215 10 0 18832937 514
25297326 10 0 18833156 513
25297327 10 0 18833156 512
25297329 10 0 18833156 512
25297331 10 0 18833156 512
25297333 10 0 18833156 512
25297334 10 0 18833171 512
25231801 10 0 18833171 512
25231802 10 0 18833171 512
25231803 10 0 18833171 512
25166270 10 0 18833171 512
25166273 10 0 18833171 512
25166275 10 0 18833171 512
25166278 10 0 18833187 512
25166282 10 0 18833187 512
25166283 10 0 18833187 512
25166286 10 0 18833187 512
25166288 10 0 18833187 512
25166291 10 0 18833187 512
25166293 10 0 18833187 512
25166299 10 0 18833203 512
25166304 10 0 18833203 512
25166306 10 0 18833203 512
25166309 10 0 18833203 512
25166312 10 0 18833203 512
25166317 10 0 18833203 512
25166318 10 0 18833203 512
25166320 10 0 18833218 512
25166323 10 0 18833218 512
